0.000	2.677	-4.059	0.000	0.000
0.000	2.677	-4.060	0.000	-0.120
0.000	2.677	-4.060	0.000	0.000
0.000	2.677	-4.059	0.000	0.000
0.000	2.677	-4.059	0.000	0.120
0.000	2.675	-4.056	-0.120	0.239
0.000	2.674	-4.053	-0.120	0.359
0.000	2.673	-4.045	-0.120	0.359
0.000	2.668	-4.035	-0.239	0.718
0.000	2.663	-4.024	-0.359	0.957
0.000	2.655	-4.009	-0.598	1.316
0.000	2.645	-3.990	-0.838	1.556
0.000	2.634	-3.967	-0.957	1.915
0.000	2.620	-3.938	-1.197	2.513
0.000	2.605	-3.906	-1.436	2.872
0.000	2.587	-3.868	-1.556	3.471
0.000	2.567	-3.823	-1.915	4.069
0.000	2.545	-3.772	-2.154	4.787
0.000	2.520	-3.717	-2.394	5.266
0.000	2.491	-3.656	-2.633	5.984
0.000	2.460	-3.588	-2.992	6.463
0.000	2.389	-3.438	-3.710	7.540
0.000	2.347	-3.355	-3.949	8.258
0.000	2.301	-3.267	-4.548	8.617
0.000	2.252	-3.174	-4.907	9.215
0.000	2.197	-3.078	-5.505	9.694
0.000	2.136	-2.974	-5.984	10.292
0.000	2.071	-2.866	-5.984	10.292
0.000	1.999	-2.752	-6.582	10.771
0.000	1.923	-2.631	-7.181	11.489
0.000	1.840	-2.503	-7.660	12.088
0.000	1.752	-2.366	-8.378	12.925
0.000	1.659	-2.218	-8.856	14.003
0.000	1.559	-2.058	-9.574	15.080
0.000	1.455	-1.884	-10.053	16.396
0.000	1.343	-1.694	-10.771	17.952
0.000	1.224	-1.483	-11.370	19.867
0.000	1.097	-1.248	-12.327	22.141
0.000	0.958	-0.981	-13.284	24.893
0.000	0.808	-0.685	-14.481	28.244
0.000	0.643	-0.352	-15.917	31.954
0.000	0.470	0.006	-17.114	35.066
0.000	0.293	0.364	-17.593	36.143
0.000	0.126	0.694	-17.114	33.869
0.000	-0.031	0.986	-15.917	29.920
0.000	-0.178	1.244	-14.721	26.210
0.000	-0.319	1.473	-14.242	23.098
0.000	-0.455	1.674	-13.524	20.346
0.000	-0.586	1.849	-13.524	20.346
0.000	-0.713	1.998	-13.045	17.354
0.000	-0.837	2.130	-12.686	14.840
0.000	-0.960	2.246	-12.447	13.045
0.000	-1.081	2.341	-12.327	11.250
0.000	-1.195	2.420	-11.729	9.215
0.000	-1.307	2.486	-11.489	7.540
0.000	-1.414	2.538	-11.011	6.223
0.000	-1.516	2.579	-10.532	4.787
0.000	-1.698	2.625	-9.096	2.274
0.000	-1.779	2.635	-8.497	1.436
0.000	-1.854	2.636	-7.779	0.598
0.000	-1.920	2.629	-6.941	-0.479
0.000	-1.979	2.615	-6.223	-1.077
0.000	-2.032	2.595	-5.505	-1.915
0.000	-2.078	2.570	-4.668	-2.394
